time,open,high,low,close,Plot,Plot,Chande MO,Plot,CHOP,CCI,Smoothing Line,CRSI,Plot,Correlation,Plot
2023-08-03T05:30:00-04:00,1.09279,1.09296,1.0924,1.0926,1.091989858,1.093576296,14.42542787,1,53.97155312,8.059873346,-6.583374898,33.27281325,-0.113825391,0,1.2981E+12
2023-08-03T05:45:00-04:00,1.0926,1.09336,1.09245,1.09316,1.091989858,1.093574666,20.81447964,1,58.03491379,42.51015972,24.48930104,77.21572485,-0.079360172,0,1.29649E+12
2023-08-03T06:00:00-04:00,1.09316,1.09332,1.0922,1.09232,1.091989858,1.093558199,8.979591837,1,60.28197556,-2.604013704,33.25131414,26.87095842,-0.065793888,0,1.29489E+12
2023-08-03T06:15:00-04:00,1.09232,1.09263,1.09216,1.09232,1.091989858,1.093552379,3.043478261,1,58.61910205,-28.87495545,13.59455588,49.68024195,-0.044642856,0,1.29328E+12
2023-08-03T06:30:00-04:00,1.09232,1.09288,1.09218,1.09283,1.091989858,1.093480142,22.55319149,1,57.77527948,2.783535684,4.374919919,75.05701182,-0.000525222,0,1.29167E+12
2023-08-03T06:45:00-04:00,1.09283,1.09356,1.0928,1.09342,1.091994873,1.093195127,33.46153846,1,57.68035086,81.53111991,19.06916923,84.97226711,0.052927641,0,1.29006E+12
2023-08-03T07:00:00-04:00,1.09342,1.09367,1.09239,1.09313,1.092023134,1.093026866,14.22505308,1,58.4642497,68.07620306,24.1823779,34.58712752,0.092734427,0,1.28846E+12
2023-08-03T07:15:00-04:00,1.09313,1.09418,1.09275,1.0932,1.092023134,1.093271261,-7.733333333,1,55.69070959,117.1954023,48.1422611,62.45437681,0.133788531,0,1.28685E+12
2023-08-03T07:30:00-04:00,1.0932,1.09461,1.0931,1.09437,1.092023134,1.093641135,37.44075829,1,52.24942965,187.4012385,91.3974999,86.63428308,0.187954293,0,1.28524E+12
2023-08-03T07:45:00-04:00,1.09437,1.09488,1.09333,1.0935,1.092023134,1.093853022,18.36734694,1,51.32019523,146.4732733,120.1354474,26.69897032,0.196908783,0,1.28363E+12
2023-08-03T08:00:00-04:00,1.0935,1.09366,1.09285,1.09363,1.092023134,1.09387472,10.51454139,1,56.23169476,76.48092727,119.1254089,61.89671245,0.21824754,0,1.28203E+12
2023-08-03T08:15:00-04:00,1.09363,1.09363,1.09253,1.09273,1.092023134,1.09387472,9.050772627,1,63.59591817,23.8267148,110.2755112,21.2528971,0.193583924,0,1.28042E+12
2023-08-03T08:30:00-04:00,1.09273,1.09561,1.09216,1.09521,1.092023134,1.094351723,41.22681883,1,59.39270212,162.9911209,119.434655,80.28182012,0.225443285,0,1.27881E+12
