time,open,high,low,close,Volume,Volume MA
2023-07-02T20:00:00-04:00,1918.12,1918.62,1917.72,1918.13,1507,1361.65
2023-07-02T20:15:00-04:00,1918.14,1918.74,1917.63,1917.82,1186,1319.2
2023-07-02T20:30:00-04:00,1917.83,1918.32,1917.69,1917.97,1088,1269.55
2023-07-02T20:45:00-04:00,1917.98,1918.16,1916.71,1917.04,1555,1218.6
2023-07-02T21:00:00-04:00,1917.05,1917.52,1916.07,1916.54,2107,1189.4
2023-07-02T21:15:00-04:00,1916.55,1917.51,1915.96,1916.19,2088,1197.95
2023-07-02T21:30:00-04:00,1916.2,1918.85,1916.12,1917.66,3953,1280.9
2023-07-02T21:45:00-04:00,1917.67,1918.25,1916.27,1917.24,2774,1273.55
2023-07-02T22:00:00-04:00,1917.25,1917.7,1916.29,1916.75,2308,1301.55
2023-07-02T22:15:00-04:00,1916.74,1916.87,1916.36,1916.38,1405,1322.15
2023-07-02T22:30:00-04:00,1916.37,1916.63,1915.11,1915.49,1867,1367.35
2023-07-02T22:45:00-04:00,1915.5,1915.52,1914.55,1914.77,1850,1426.45
2023-07-02T23:00:00-04:00,1914.78,1915.29,1914.62,1915.24,1932,1493.45
2023-07-02T23:15:00-04:00,1915.23,1916.54,1915.03,1916.54,1340,1528.55
2023-07-02T23:30:00-04:00,1916.53,1917.93,1916.08,1917.58,1089,1553.6
2023-07-02T23:45:00-04:00,1917.57,1918.98,1917.18,1918.27,1300,1597.55
2023-07-03T00:00:00-04:00,1918.26,1919,1917.83,1918.59,1063,1629.5
2023-07-03T00:15:00-04:00,1918.58,1919.48,1918.48,1919.47,1042,1658.95
2023-07-03T00:30:00-04:00,1919.46,1919.68,1918.97,1919.53,1047,1685.85
2023-07-03T00:45:00-04:00,1919.55,1920.14,1919.37,1920.03,912,1670.65
2023-07-03T01:00:00-04:00,1920.02,1920.49,1919.39,1919.84,1400,1665.3
2023-07-03T01:15:00-04:00,1919.85,1920.52,1918.96,1919.31,1414,1676.7
2023-07-03T01:30:00-04:00,1919.32,1920.12,1918.87,1919.17,2400,1742.3
2023-07-03T01:45:00-04:00,1919.16,1919.68,1916.61,1916.86,2081,1768.6
2023-07-03T02:00:00-04:00,1916.85,1917.62,1915.77,1916.1,2520,1789.25
2023-07-03T02:15:00-04:00,1916.11,1916.11,1913.46,1914.74,2906,1830.15
2023-07-03T02:30:00-04:00,1914.75,1915.15,1913.38,1913.75,2897,1777.35
2023-07-03T02:45:00-04:00,1913.74,1915.35,1913.63,1915.01,2893,1783.3
2023-07-03T03:00:00-04:00,1915,1916.03,1914.68,1915.29,3142,1825
2023-07-03T03:15:00-04:00,1915.28,1915.85,1914.43,1915.58,3172,1913.35
2023-07-03T03:30:00-04:00,1915.57,1915.62,1912.33,1913.01,3494,1994.7
2023-07-03T03:45:00-04:00,1913.02,1913.35,1911.99,1912.09,2981,2051.25
2023-07-03T04:00:00-04:00,1912.1,1912.23,1910.71,1910.71,3759,2142.6
2023-07-03T04:15:00-04:00,1910.7,1912.52,1909.96,1912.5,3144,2232.8
2023-07-03T04:30:00-04:00,1912.48,1913.28,1912.19,1912.67,2367,2296.7
2023-07-03T04:45:00-04:00,1912.68,1912.74,1911.45,1911.91,1677,2315.55
2023-07-03T05:00:00-04:00,1911.9,1914.12,1911.56,1914.07,2431,2383.95
2023-07-03T05:15:00-04:00,1914.06,1914.07,1912.92,1913,1709,2417.3
2023-07-03T05:30:00-04:00,1912.99,1913.73,1912.67,1912.74,1959,2462.9
2023-07-03T05:45:00-04:00,1912.75,1913.38,1912.52,1913,1737,2504.15
2023-07-03T06:00:00-04:00,1913.03,1913.34,1912.18,1912.82,1951,2531.7
2023-07-03T06:15:00-04:00,1912.81,1912.82,1911.62,1911.9,1792,2550.6
2023-07-03T06:30:00-04:00,1911.89,1913.37,1911.71,1913.09,1736,2517.4
2023-07-03T06:45:00-04:00,1913.08,1914.26,1912.31,1913.78,1539,2490.3
2023-07-03T07:00:00-04:00,1913.79,1914.28,1912.43,1913.28,1918,2460.2
2023-07-03T07:15:00-04:00,1913.27,1913.36,1911.91,1912.39,1757,2402.75
2023-07-03T07:30:00-04:00,1912.4,1912.94,1911.85,1912.9,2100,2362.9
2023-07-03T07:45:00-04:00,1912.91,1913.37,1912.18,1912.44,1854,2310.95
2023-07-03T08:00:00-04:00,1912.45,1913.68,1911.52,1913.12,3162,2311.95
2023-07-03T08:15:00-04:00,1913.13,1914.9,1912.23,1914.41,4011,2353.9
2023-07-03T08:30:00-04:00,1914.39,1919.75,1913.85,1919.63,5546,2456.5
2023-07-03T08:45:00-04:00,1919.64,1921.97,1919.44,1921.83,4281,2521.5
2023-07-03T09:00:00-04:00,1921.84,1922.12,1919.4,1921.86,4711,2569.1
2023-07-03T09:15:00-04:00,1921.85,1925.19,1921.57,1923.35,6218,2722.8
2023-07-03T09:30:00-04:00,1923.34,1924.88,1921.66,1922.73,7288,2968.85
2023-07-03T09:45:00-04:00,1922.74,1926.89,1922.66,1925.99,7667,3268.35
2023-07-03T10:00:00-04:00,1926,1930.85,1924.85,1926.01,13800,3836.8
2023-07-03T10:15:00-04:00,1926,1926.48,1924.11,1925.58,7595,4131.1
2023-07-03T10:30:00-04:00,1925.59,1929.21,1924.96,1929.14,6065,4336.4
2023-07-03T10:45:00-04:00,1929.12,1930.27,1926.67,1930.07,5548,4526.95
2023-07-03T11:00:00-04:00,1930.08,1930.27,1926.35,1927.18,5708,4714.8
2023-07-03T11:15:00-04:00,1927.19,1928.03,1926.28,1927.19,4939,4872.15
2023-07-03T11:30:00-04:00,1927.2,1927.35,1925.86,1927.28,4160,4993.35
2023-07-03T11:45:00-04:00,1927.29,1927.79,1925.85,1926.47,3891,5110.95
2023-07-03T12:00:00-04:00,1926.49,1926.6,1925.2,1925.48,2902,5160.15
2023-07-03T12:15:00-04:00,1925.47,1925.67,1924.42,1925.23,2775,5211.05
2023-07-03T12:30:00-04:00,1925.24,1925.54,1922,1922.03,3826,5297.35
2023-07-03T12:45:00-04:00,1922.01,1923.02,1921.71,1921.91,3823,5395.8
2023-07-03T13:00:00-04:00,1921.9,1922.06,1920.86,1921.38,2107,5343.05
2023-07-03T13:15:00-04:00,1921.37,1921.96,1920.77,1921.34,2296,5257.3
2023-07-03T13:30:00-04:00,1921.33,1921.6,1920.72,1921.13,1588,5059.4
2023-07-03T13:45:00-04:00,1921.14,1921.18,1920.51,1920.52,1108,4900.75
2023-07-03T14:00:00-04:00,1920.53,1921.7,1920.52,1921.54,763,4703.35
2023-07-03T14:15:00-04:00,1921.55,1921.55,1920.86,1921.19,595,4422.2
2023-07-03T14:30:00-04:00,1921.18,1921.44,1921.09,1921.22,509,4083.25
2023-07-03T14:45:00-04:00,1921.21,1921.35,1920.89,1921.17,353,3717.55
2023-07-03T15:00:00-04:00,1921.18,1921.74,1921.18,1921.64,363,3045.7
2023-07-03T15:15:00-04:00,1921.63,1921.67,1921.15,1921.44,258,2678.85
2023-07-03T15:30:00-04:00,1921.43,1921.56,1921,1921.42,333,2392.25
2023-07-03T15:45:00-04:00,1921.41,1921.59,1921.27,1921.28,288,2129.25
2023-07-03T16:00:00-04:00,1921.27,1921.36,1920.97,1921.27,270,1857.35
2023-07-03T16:15:00-04:00,1921.28,1921.39,1921.14,1921.18,218,1621.3
2023-07-03T16:30:00-04:00,1921.19,1921.56,1921.07,1921.46,225,1424.55
2023-07-03T16:45:00-04:00,1921.45,1921.64,1921.24,1921.49,232,1241.6
2023-07-03T18:00:00-04:00,1921.11,1921.43,1921.07,1921.34,160,1104.5
