time,open,high,low,close,Plot,Plot,Basis,Upper,Lower,ATR,Plot,Plot,Bollinger Bands %B,Bollinger Bands Width,BBPower,MF,Chaikin Oscillator
2023-05-10T14:15:00-04:00,1.09723,1.09747,1.09714,1.09738,1.096926213,1.099673217,1.097331,1.098590236,1.096071764,0.000826051,-0.000104294,0.454545455,0.519456237,0.002295089,0.000473988,-0.184686643,-81.52692692
2023-05-10T14:30:00-04:00,1.09738,1.09794,1.09729,1.09793,1.096914591,1.099673217,1.0973465,1.098627035,1.096065965,0.000813476,1.44706E-05,0.846153846,0.727834383,0.002333876,0.000847704,-0.122356477,974.6643545
2023-05-10T14:45:00-04:00,1.09793,1.09825,1.09762,1.09768,1.096902132,1.097804895,1.0973015,1.098463228,1.096139772,0.00080037,0.000255176,-0.396825397,0.662903939,0.002117426,0.001348032,-0.210093732,757.3943313
2023-05-10T15:00:00-04:00,1.09768,1.09804,1.09758,1.09789,1.096873919,1.097536081,1.0972695,1.098324459,1.096214541,0.000776058,0.000417118,0.456521739,0.794087192,0.001922881,0.000918313,-0.160521949,800.748019
2023-05-10T15:15:00-04:00,1.09789,1.09847,1.09784,1.09837,1.096865527,1.097764473,1.0972545,1.098235305,1.096273695,0.000765625,0.000566647,0.761904762,1.068665373,0.001787744,0.001317126,-0.049863857,1154.622687
2023-05-10T15:30:00-04:00,1.09837,1.09848,1.09828,1.09828,1.096814974,1.097825026,1.097295,1.098370388,1.096219612,0.000725224,0.000683706,-0.45,0.95797411,0.001960071,0.001543251,0.049338985,762.3329894
2023-05-10T15:45:00-04:00,1.09828,1.09832,1.09795,1.09823,1.096786477,1.097853523,1.0973455,1.098494403,1.096196597,0.00069985,0.000689471,-0.135135135,0.884932279,0.002093968,0.000875643,-0.001248588,811.7824848
2023-05-10T16:00:00-04:00,1.09823,1.09836,1.09806,1.09809,1.096786477,1.097886171,1.0973765,1.098569769,1.096183231,0.00067129,0.000648147,-0.466666667,0.798968622,0.002174767,0.000913409,-0.006828313,535.4861434
2023-05-10T16:15:00-04:00,1.09809,1.09838,1.09809,1.09827,1.096786477,1.097916554,1.0974125,1.098666436,1.096158564,0.000644055,0.000640206,0.620689655,0.841923406,0.002285259,0.000815779,0.019391276,415.4790252
2023-05-10T16:30:00-04:00,1.09827,1.09845,1.09825,1.09838,1.096786477,1.097952898,1.0974635,1.098785851,1.096141149,0.000612337,0.000578029,0.55,0.846541995,0.002409831,0.00088781,0.023016319,394.3825655
2023-05-10T16:45:00-04:00,1.09838,1.0984,1.09803,1.09803,1.096786477,1.097968608,1.0975395,1.098807514,1.096271486,0.000595027,0.000439294,-0.945945946,0.693412721,0.002310648,0.000582409,0.054546832,-72.96440127
2023-05-10T17:00:00-04:00,1.09803,1.09813,1.09786,1.09813,1.096786477,1.097992748,1.0975995,1.098860015,1.096338985,0.000571811,0.000385559,0.37037037,0.710429802,0.002296858,8.34934E-05,0.025610278,-237.4732148
2023-05-10T17:15:00-04:00,1.09813,1.0982,1.09806,1.0982,1.096786477,1.098027473,1.097648,1.098922482,1.096373518,0.000540967,0.000413235,0.5,0.716558595,0.002322205,0.000282994,-0.017705735,-270.7747099
2023-05-10T17:30:00-04:00,1.0982,1.09826,1.09817,1.09824,1.096786477,1.098063726,1.097699,1.098982494,1.096415506,0.000508755,0.000455706,0.444444444,0.71075289,0.002338517,0.000381138,0.023369166,-119.2518631
2023-05-10T17:45:00-04:00,1.09824,1.09827,1.09816,1.09825,1.096786477,1.098094353,1.09776,1.099026365,1.096493635,0.000480273,0.000446647,0.090909091,0.693467147,0.00230718,0.00031669,0.07621532,134.7948428
2023-05-10T18:00:00-04:00,1.09825,1.09856,1.09822,1.0983,1.096833829,1.098178918,1.097829,1.099054494,1.096603506,0.000470253,0.000469441,0.147058824,0.692167375,0.002232578,0.000597163,0.108014465,154.878055
2023-05-10T18:15:00-04:00,1.0983,1.09842,1.09825,1.0984,1.097313446,1.098200026,1.09792,1.099025405,1.096814595,0.000448806,0.000535529,0.588235294,0.717115014,0.002013635,0.000398997,0.170418869,218.1156956
2023-05-10T18:30:00-04:00,1.0984,1.09846,1.09836,1.09838,1.097667102,1.098226023,1.0980205,1.098882671,1.097158329,0.000423892,0.000603735,-0.2,0.708485301,0.00157041,0.00047914,0.195209542,155.8114853
2023-05-10T18:45:00-04:00,1.09838,1.09864,1.09838,1.09863,1.097801392,1.098313421,1.0981145,1.098792334,1.097436666,0.000412185,0.000692,0.961538462,0.880255317,0.001234542,0.000547834,0.193837396,186.0608167
2023-05-10T19:00:00-04:00,1.09863,1.09872,1.0985,1.09856,1.098032527,1.098404079,1.098181,1.098751084,1.097610916,0.000398458,0.000755853,-0.318181818,0.832407038,0.001038234,0.000655286,0.108468103,118.3184442
2023-05-10T19:15:00-04:00,1.09856,1.09861,1.09849,1.0986,1.098032527,1.098423671,1.098242,1.09870773,1.09777627,0.000378568,0.000740353,0.333333333,0.884343247,0.000848136,0.000444531,0.078078353,171.3267059
2023-05-10T19:30:00-04:00,1.0986,1.0986,1.09821,1.0983,1.098156329,1.098423671,1.0982605,1.098704053,1.097816947,0.000379384,0.000727882,-0.769230769,0.54452684,0.000807737,0.000162455,-0.063006696,102.9087768
2023-05-10T19:45:00-04:00,1.0983,1.09842,1.09823,1.09825,1.098156329,1.098425874,1.098289,1.098644128,1.097933872,0.000365857,0.000690882,-0.263157895,0.445090242,0.000646693,2.35332E-05,0.022703616,-52.24672415
2023-05-10T20:00:00-04:00,1.09825,1.09847,1.09822,1.09836,1.098156329,1.098430286,1.0983125,1.098617582,1.098007418,0.000357581,0.000628471,0.44,0.577847937,0.000555547,5.01713E-05,-0.010601619,-66.48790871
2023-05-10T20:15:00-04:00,1.09836,1.09885,1.09834,1.0986,1.098156329,1.098538258,1.098324,1.098653266,1.097994734,0.000368468,0.000578118,0.470588235,0.919114229,0.000599579,0.000470147,-0.102625751,-58.13402014
2023-05-10T20:30:00-04:00,1.0986,1.09882,1.0985,1.09852,1.098156329,1.098538258,1.098336,1.098675317,1.097996683,0.000365006,0.000544971,-0.25,0.771132932,0.000617875,0.000554412,-0.088053529,-416.6532003
2023-05-10T20:45:00-04:00,1.09852,1.09931,1.09852,1.09927,1.098156329,1.098949689,1.098388,1.098913875,1.097862125,0.000395363,0.000590794,0.949367089,1.338603119,0.000957539,0.000810924,-0.026563183,20.45673563
2023-05-10T21:00:00-04:00,1.09927,1.09942,1.09878,1.09941,1.098156329,1.09903172,1.098454,1.099125011,1.097782989,0.000412837,0.000693588,0.21875,1.212357735,0.001221737,0.000923649,0.137289433,738.6817789
2023-05-10T21:15:00-04:00,1.09941,1.0998,1.09926,1.09929,1.098156329,1.099396548,1.098505,1.099261875,1.097748125,0.00042192,0.000860588,-0.222222222,1.018579582,0.001378009,0.001597414,0.022629722,475.7724682
2023-05-10T21:30:00-04:00,1.09929,1.09937,1.0987,1.09886,1.098365696,1.099396548,1.098529,1.099298829,1.097759171,0.00043964,0.000888735,-0.641791045,0.714982934,0.001401563,0.00057064,-0.051196767,-5.966219094
2023-05-10T21:45:00-04:00,1.09886,1.09898,1.09839,1.09845,1.098449714,1.099396548,1.09855,1.099286424,1.097813576,0.00045038,0.000836971,-0.694915254,0.432104312,0.00134072,-4.37369E-05,-0.052182705,-637.1944387
