Date,Time,Session,Day,open,high,low,close,Basis,Upper,Lower,Plot,EUR Index (Average),USD Index (HLC),Accumulation/Distribution,Histogram,MACD,Signal1,RVI,Candlestick,RVI-based MA,SMI,SMI-based EMA,K,D,Signal,Currency div candle
01/05/2023,10:00,London-New York Overlap,Monday,1.10174,1.10175,1.0995,1.09961,1.1012295,1.103289534,1.099169466,1.101599913,16.62660188,67.88487891,-7947.160655,-8.74E-05,0.000329136,0.000416527,27.55451608,Bearish Marubozu,57.87630252,-19.24878083,10.62548953,15.3590316,34.79550517,No trade,conu
01/05/2023,10:15,London-New York Overlap,Monday,1.09961,1.09978,1.09833,1.09852,1.1011535,1.103478566,1.098828434,1.100526967,16.61887649,67.92370551,-12164.43652,-0.000280897,6.54E-05,0.000346303,20.84843331,Bearish Marubozu,54.01247438,-52.95010428,-21.16230737,1.42E-14,16.37174935,No trade,divd
01/05/2023,10:30,London-New York Overlap,Monday,1.09852,1.0992,1.09784,1.09804,1.101044,1.10371349,1.09837451,1.099435601,16.61425935,67.93469088,-16058.08358,-0.000421248,-0.000180257,0.000240991,15.42768694,Bearish,50.65496856,-72.05818904,-46.61024821,1.42E-14,5.119677199,No trade,divd
01/05/2023,10:45,London-New York Overlap,Monday,1.09804,1.09861,1.09778,1.09814,1.1009345,1.10387778,1.09799122,1.098678517,16.61872748,67.95164069,-16710.52936,-0.00048295,-0.000362696,0.000120253,36.80382933,Bullish,48.42929544,-80.28916056,-63.44970438,0.736146774,0.245382258,No trade,conu
01/05/2023,11:00,London-New York Overlap,Monday,1.09814,1.0982,1.09696,1.09712,1.10078,1.104152317,1.097407683,1.098075625,16.62340548,67.97101595,-20457.30355,-0.000562496,-0.000582867,-2.04E-05,27.95099637,Bearish Marubozu,46.16138839,-86.44583755,-74.94777096,0.736146774,0.490764516,No trade,conu
01/05/2023,11:15,London-New York Overlap,Monday,1.09712,1.0976,1.0968,1.09688,1.100613,1.104386625,1.096839375,1.097586006,16.61494044,67.99961922,-23566.10355,-0.000597998,-0.000767869,-0.00016987,21.88488134,Bearish,43.08069654,-90.91611493,-82.93194295,0.736146774,0.736146774,No trade,divd
01/05/2023,11:30,London-New York Overlap,Monday,1.09688,1.09711,1.09662,1.09684,1.1004235,1.104539767,1.096307233,1.097208247,16.61383837,67.99408413,-23858.85865,-0.000589906,-0.000907253,-0.000317347,17.62722961,Bearish Doji,40.30273196,-92.43772445,-87.6848337,1.42E-14,0.490764516,No trade,cond
01/05/2023,11:45,London-New York Overlap,Monday,1.09684,1.09718,1.09669,1.09693,1.100226,1.10460628,1.09584572,1.096999179,16.61617906,67.99175494,-23912.55253,-0.000545274,-0.000998939,-0.000453665,31.4020041,Bullish,38.05513311,-92.1688457,-89.9268397,0.706012721,0.480719832,No trade,divu
01/05/2023,12:00,New York Session,Monday,1.09693,1.09707,1.09643,1.09649,1.1000155,1.104679856,1.095351144,1.09682916,16.61668847,68.02005368,-25732.55253,-0.000512658,-0.001094488,-0.00058183,27.16492738,Bearish Marubozu,34.93699662,-93.60906286,-91.76795128,0.706012721,0.470675147,No trade,conu
01/05/2023,12:15,New York Session,Monday,1.09649,1.09672,1.09643,1.09662,1.099792,1.104653212,1.094930788,1.096718017,16.62042515,68.04480796,-25113.10426,-0.000451741,-0.001146506,-0.000694765,33.63364822,Bullish,31.79463875,-93.81246826,-92.79020977,2.014361899,1.142129114,No trade,conu
01/05/2023,12:30,New York Session,Monday,1.09662,1.09715,1.09647,1.0968,1.0995795,1.10457196,1.09458704,1.096687333,16.62384358,68.03159673,-25176.81014,-0.000372056,-0.001159836,-0.000787779,38.11416163,Bullish,30.16467664,-91.35533324,-92.07277151,4.661447249,2.46060729,No trade,divu
01/05/2023,12:45,New York Session,Monday,1.0968,1.09706,1.09664,1.09675,1.09935,1.104419055,1.094280945,1.096703373,16.62555693,68.01965567,-26115.38157,-0.000298617,-0.00116105,-0.000862433,35.89692805,Bearish,29.23043592,-88.29715837,-90.18496494,7.985253464,4.88702087,No trade,divu
01/05/2023,13:00,New York Session,Monday,1.09675,1.09697,1.09662,1.09693,1.0991385,1.104240701,1.094036299,1.096772214,16.6232148,68.01291217,-24774.63871,-0.000217583,-0.001134412,-0.000916829,39.14974462,Bullish,29.12570922,-82.17683515,-86.18090004,13.57815078,8.741617165,No trade,cond
01/05/2023,13:15,New York Session,Monday,1.09693,1.09716,1.09692,1.0971,1.098911,1.103950345,1.093871655,1.096878965,16.62402502,68.00907994,-23870.13871,-0.000136178,-0.001087052,-0.000950874,40.64998754,Bullish,29.57921247,-71.44557707,-78.81323855,32.84714698,18.13685041,No trade,divu
01/05/2023,13:30,New York Session,Monday,1.0971,1.09714,1.09652,1.09675,1.0985995,1.103356547,1.093842453,1.096903357,16.62329286,68.01565524,-24401.49355,-9.17E-05,-0.001065479,-0.000973795,39.66073315,Bearish,30.44394226,-64.09550921,-71.45437388,53.73917907,33.38815895,Buy,divd
01/05/2023,13:45,New York Session,Monday,1.09675,1.09721,1.09671,1.09719,1.098295,1.102569873,1.094020127,1.096966124,16.62257375,68.00941472,-23160.41355,-2.20E-05,-0.001001335,-0.000979303,41.66260571,Bullish Marubozu,31.93066886,-44.12816562,-57.79126975,80.17126591,55.58586399,No trade,cond
01/05/2023,14:00,New York Session,Monday,1.09719,1.09753,1.09686,1.09726,1.098025,1.101817959,1.094232041,1.097056215,16.62561242,68.00428149,-22754.89116,3.62E-05,-0.000934085,-0.000970259,44.1921475,Bullish,33.98527318,-18.87492849,-38.33309912,90.88250497,74.93098332,No trade,divu
01/05/2023,14:15,New York Session,Monday,1.09726,1.09756,1.09726,1.0974,1.097771,1.100970562,1.094571438,1.097183492,16.63105451,68.00787263,-22876.29116,8.85E-05,-0.000859583,-0.000948124,47.35346983,Bullish,34.73881893,8.996430431,-14.66833434,100,90.35125696,No trade,conu
01/05/2023,14:30,New York Session,Monday,1.0974,1.09747,1.0969,1.09695,1.097503,1.099945172,1.095060828,1.097193666,16.63071868,68.01149266,-24240.94028,9.66E-05,-0.000827314,-0.000923962,44.84495184,Bearish Marubozu,35.94553004,13.61206057,-0.528136886,91.56106328,94.14785609,No trade,divd
01/05/2023,14:45,New York Session,Monday,1.09695,1.09736,1.09689,1.09694,1.097263,1.098748518,1.095777482,1.0971227,16.62947763,68.00352883,-25805.96156,0.000104448,-0.000793401,-0.00089785,42.56367604,Bearish Doji,37.4225868,8.583071282,4.027467198,82.94013931,91.50040087,Sell,cond
